userid,projectid
u1,p2
u2,p1
u3,p6
u4,p3
u5,p4
u1,p1
u6,p1
u2,p5
u6,p6
u3,p6
u4,p3
u5,p4
u1,p1
u6,p1
u2,p1
u3,p6
u4,p5
u5,p4
u1,p1
u6,p1
u2,p5
u6,p6
u3,p6
u3,p6
u4,p4
u5,p2
u1,p5
u1,p5
u11,p5
u1,p1
u2,p5
u3,p6
u4,p4
u5,p2
u1,p2
u6,p1
u3,p6
u6,p6
u2,p5
u3,p6
u4,p5
u5,p2
u1,p2
u1,p2
u6,p1
u3,p6
u6,p6
u2,p5
u3,p6
u3,p6
u4,p4
u5,p2
u1,p5
u1,p5
u11,p5
u1o,p5
u9,p5
u7,p5
u13,p5
u1,p1
u2,p1
u3,p6
u4,p3
u5,p4
u1,p1
u6,p1
u2,p5
u6,p6
u4,p5
u5,p4
u1,p1
u6,p1
u2,p5
u1,p2
u2,p1
u3,p6
u4,p3
u5,p4
u1,p1
u3,p6
u4,p4
u5,p2
u7,p9
u1,p5
u1,p5
u11,p5
u2,p1
u6,p1
u4,p1
u1,p2
u4,p2
u7,p2
u13,p2
u6,p2
u6,p4
u2,p4
u1,p4
u2,p6
u4,p6
u2,p7
u2,p12
u2,p13
u7,p113
u19,p129
u7,p129
u10,p129
u7,p142
u2,p150
u2,p269
u2,p302
u9,p303
u2,p307
u2,p348
u4,p348
u2,p391
u2,p392
u10,p465
u2,p485
u10,p784
u10,p856
u10,p963
u10,p992
u1o,p5
u9,p5
u7,p5
u13,p5
u1,p1
u2,p1
u3,p6
u4,p3
u5,p4
u1,p1
u6,p1
u2,p5
u6,p6
u4,p5
u5,p4
u1,p1
u6,p1
u2,p5
u1,p2
u2,p1
u3,p6
u4,p3
u5,p4
u1,p1
u3,p6
u4,p4
u5,p2
u7,p9
u1,p5
u1,p5
u11,p5
u2,p1
u6,p1
u4,p1
u1,p2
u4,p2
u7,p2
u13,p2
u6,p2
u6,p4
u2,p4
u1,p4
u2,p6
u4,p6
u2,p7
u2,p12
u2,p13
u7,p113
u19,p129
u7,p129
u10,p129
u7,p142
u2,p150
u2,p269
u2,p302
u9,p303
u2,p307
u2,p348
u4,p348
u2,p391
u2,p392
u10,p465
u2,p485
u10,p784
u10,p856
u10,p963
u10,p992
u1o,p5
u9,p5
u7,p5
u13,p5
